,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
7580,POINT (16.355056283728857 48.20344819313507),,Gebäude,,,,,Bauwerke,Zur Kohlkreunze,https://www.geschichtewiki.wien.gv.at/?curid=13160,Spittelberggasse 9,Gebäude
7610,POINT (16.35165044544807 48.20558045755067),,Denkmal,,,,1908.0,bauwerke,Augustinbrunnen,https://www.geschichtewiki.wien.gv.at/?curid=28385,Neustiftgasse 30,Brunnen
7622,POINT (16.357103015699547 48.20495404062671),,Denkmal,,,,1952.0,Bauwerke,Hansi-Niese-Denkmal,https://www.geschichtewiki.wien.gv.at/?curid=20576,Arthur-Schnitzler-Platz 1,
7648,POINT (16.35349720032061 48.201080342065545),,Gebäude,,,,,Bauwerke,Zur blauen Flasche (7),https://www.geschichtewiki.wien.gv.at/?curid=20324,Lindengasse 10,Gebäude
7657,POINT (16.352804760053328 48.20635695072086),,Gebäude,,,,,bauwerke,"Zur goldenen Ente (7, Lerchenfelder Straße 15)",https://www.geschichtewiki.wien.gv.at/?curid=19200,Lerchenfelder Straße 15,Gebäude
7659,POINT (16.35569578944332 48.203999910497),,Gebäude,,,,,Bauwerke,Zur goldenen Hand,https://www.geschichtewiki.wien.gv.at/?curid=30941,Kirchberggasse 25,Gebäude
7661,POINT (16.353540488331877 48.20218506392683),,Gebäude,,,1992.0,1700.0,bauwerke,Zur goldenen Krone (7),https://www.geschichtewiki.wien.gv.at/?curid=55947,Siebensterngasse 19,Gebäude
7685,POINT (16.338555016237578 48.19854904094482),,Denkmal,,,,1909.0,bauwerke,Hesserdenkmal,https://www.geschichtewiki.wien.gv.at/?curid=12938,Neubaugürtel 14-16,
7715,POINT (16.356261872142777 48.202884023042984),,Gebäude,,,,1836.0,Bauwerke,"Zur goldenen Rose (7, Kirchberggasse)",https://www.geschichtewiki.wien.gv.at/?curid=27733,Kirchberggasse 4,Gebäude
7785,POINT (16.3494000247669 48.20136633307758),,Gebäude,,,,,Bauwerke,Zur ungarischen Krone,https://www.geschichtewiki.wien.gv.at/?curid=21029,Neubaugasse 36/1,Gebäude
7844,POINT (16.340182537424653 48.196199334795146),,Gebäude,,,,1899.0,Bauwerke,Zachariashof,https://www.geschichtewiki.wien.gv.at/?curid=40583,Mariahilfer Straße 128,Gebäude
7855,POINT (16.36021437700146 48.20173788535905),,Gebäude,,,,,organisationen,Österreichisches Tabakmuseum,https://www.geschichtewiki.wien.gv.at/?curid=22686,Museumsplatz 1(HOF E3/10),Museum
7909,POINT (16.341147109052375 48.20287965052828),,Gebäude,,,,1958.0,Bauwerke,Zentraldepot des Wiener Stadt- und Landesarchivs,https://www.geschichtewiki.wien.gv.at/?curid=9316,Kandlgasse 30,Gebäude
7975,POINT (16.346645631040598 48.19759485576941),,Gebäude,,,,1900.0,Bauwerke,Zita-Hof,https://www.geschichtewiki.wien.gv.at/?curid=40604,Mariahilfer Straße 88A/3,Gebäude
7990,POINT (16.35038204518491 48.20079946212197),,Gebäude,,,,1578.0,Bauwerke,Zum goldenen Fagott,https://www.geschichtewiki.wien.gv.at/?curid=11853,Zollergasse 31,Gebäude
7991,POINT (16.355544959412953 48.203595870380994),,Gebäude,,,,,Bauwerke,Zum goldenen Fassel,https://www.geschichtewiki.wien.gv.at/?curid=14741,Gutenberggasse 19,Gebäude
7997,POINT (16.354269990854647 48.20395985463048),,Gebäude,,,,1890.0,Bauwerke,Zum goldenen Hirschen (7),https://www.geschichtewiki.wien.gv.at/?curid=15932,Stiftgasse 18,Gebäude
8033,POINT (16.356567210177786 48.20378293220695),,Gebäude,,,,,bauwerke,Zu den drei Kronen,https://www.geschichtewiki.wien.gv.at/?curid=21034,Breite Gasse 11,Gebäude
8036,POINT (16.34958235705945 48.199497788043075),,Gebäude,,,,1820.0,Bauwerke,Zu den neun Kurfürsten,https://www.geschichtewiki.wien.gv.at/?curid=25735,Neubaugasse 16,Gebäude
8038,POINT (16.35472620955241 48.20251852706678),,Gebäude,,,,1870.0,Bauwerke,Zu den sieben Churfürsten,https://www.geschichtewiki.wien.gv.at/?curid=19568,Stiftgasse 4,Gebäude
8041,POINT (16.354268310166255 48.20224772415395),,Gebäude,,,,,Bauwerke,Zu den sieben Sternen,https://www.geschichtewiki.wien.gv.at/?curid=17673,Stiftgasse 21,Gebäude
8048,POINT (16.35502793457878 48.20354901187673),,Gebäude,,,,1720.0,Bauwerke,Zu den zwei goldenen Kreuzen,https://www.geschichtewiki.wien.gv.at/?curid=19614,Spittelberggasse 11,Gebäude
8074,POINT (16.356424867430505 48.204105634392896),,Sonstiges,,,1872.0,1822.0,Bauwerke,"Dreifaltigkeitsbrunnen (7, Breite Gasse)",https://www.geschichtewiki.wien.gv.at/?curid=9417,Breite Gasse 17,Brunnen
8113,POINT (16.354539807280773 48.20530187079777),,Gebäude,,,,1712.0,Bauwerke,Zum goldenen Schiff,https://www.geschichtewiki.wien.gv.at/?curid=7639,Faßziehergasse 12,Gebäude
8119,POINT (16.350323866898908 48.203978665734766),,Gebäude,,,,1688.0,Bauwerke,Zum goldenen Stuck,https://www.geschichtewiki.wien.gv.at/?curid=21330,Stuckgasse 15,Gebäude
8124,POINT (16.356389798177755 48.204558449509285),,Gebäude,,,1873.0,,Bauwerke,Zum großen Zeisig,https://www.geschichtewiki.wien.gv.at/?curid=7491,Burggasse 2,Gebäude
8132,POINT (16.352529016002688 48.20433404098209),,Denkmal,,,,1713.0,Bauwerke,"Dreifaltigkeitssäule (7, St.-Ulrichs-Platz)",https://www.geschichtewiki.wien.gv.at/?curid=9592,Burggasse 33,Sakrale_Freiplastik
8148,POINT (16.357053732725316 48.20523201309908),,Gebäude,,,,,organisationen,Volkstheater,https://www.geschichtewiki.wien.gv.at/?curid=6125,Arthur-Schnitzler-Platz 1,Begriffsklärung
8161,POINT (16.351115401334013 48.201929638116766),,Gebäude,,,,,Bauwerke,Zum Chinesen (7),https://www.geschichtewiki.wien.gv.at/?curid=18456,Mondscheingasse 2,Gebäude
8163,POINT (16.35554005803288 48.20415399086158),,Gebäude,,,,1800.0,Bauwerke,Zum Dattelbaum,https://www.geschichtewiki.wien.gv.at/?curid=26756,Burggasse 11,Gebäude
8178,POINT (16.351936396336722 48.19921150369247),,Gebäude,,,1893.0,1683.0,bauwerke,Zum grünen Baum (7),https://www.geschichtewiki.wien.gv.at/?curid=4840,Mariahilfer Straße 56,Gebäude
8186,POINT (16.352133903760897 48.20233419619064),,Gebäude,,,,,Bauwerke,Zum grünen Luftschützen,https://www.geschichtewiki.wien.gv.at/?curid=20315,Siebensterngasse 38,Gebäude
8188,POINT (16.354153084072202 48.20128258882193),,Gebäude,,,,1696.0,Bauwerke,Zum grünen Tor (7),https://www.geschichtewiki.wien.gv.at/?curid=24883,Lindengasse 4,Gebäude
8234,POINT (16.34036054610768 48.20168744974702),,Gebäude,,,,,Bauwerke,Zum Kaiseracker,https://www.geschichtewiki.wien.gv.at/?curid=23733,Kaiserstraße 47-49,Gebäude
